id,name,title,url
pattie-maes,Pattie Maes,,
pat-pataranutaporn,Pat Pataranutaporn,,
hiroshi-ishii,Hiroshi Ishii,,
valdemar-danry,Valdemar Danry,,
samantha-chan,Samantha Chan,,
constanze-albrecht,Constanze Albrecht,,
auren-liu,Auren Liu,,
chayapatr-archiwaranguprok,Chayapatr Archiwaranguprok,,
mengying-fang,Mengying Fang,,
jennifer-pfister,Jennifer Pfister,,
tyler-vanderweele,Tyler VanderWeele,,
brendan-case,Brendan Case,,
fei-fei-li,Fei-Fei Li,,
james-landay,James Landay,,
john-etchemendy,John Etchemendy,,
jan-emmanuel-de-neve,Jan-Emmanuel De Neve,,
andrew-przybylski,Andrew Przybylski,,
victoria-nash,Victoria Nash,,
john-tasioulas,John Tasioulas,,
stephen-cave,Stephen Cave,,
stuart-russell,Stuart Russell,,
jonathan-zittrain,Jonathan Zittrain,,
arvind-narayanan,Arvind Narayanan,,
luciano-floridi,Luciano Floridi,,
martin-seligman,Martin Seligman,,
david-germano,David Germano,,
byron-johnson,Byron Johnson,,
deep-ganguli,Deep Ganguli,,
iason-gabriel,Iason Gabriel,,
lev-tankelevitch,Lev Tankelevitch,,
sean-rintel,Sean Rintel,,
yasmin-green,Yasmin Green,,
tristan-harris,Tristan Harris,,
aza-raskin,Aza Raskin,,
randima-fernando,Randima Fernando,,
david-ryan-polgar,David Ryan Polgar,,
rebecca-finlay,Rebecca Finlay,,
nathanael-fast,Nathanael Fast,,
juliana-schroeder,Juliana Schroeder,,
james-p-steyer,James P. Steyer,,
danah-boyd,danah boyd,,
amba-kak,Amba Kak,,
sarah-myers-west,Sarah Myers West,,
brian-nosek,Brian Nosek,,
margarita-louis-dreyfus,Margarita Louis-Dreyfus,,
vilas-dhar,Vilas Dhar,,
arianna-huffington,Arianna Huffington,,
carrie-james,Carrie James,,
emily-weinstein,Emily Weinstein,,
eric-schmidt,Eric Schmidt,,
james-manyika,James Manyika,,
beeban-kidron,Beeban Kidron,,
rumman-chowdhury,Rumman Chowdhury,,
vivian-schiller,Vivian Schiller,,
meetali-jain,Meetali Jain,,
cynthia-breazeal,Cynthia Breazeal,,
dani-van-de-sande,Dani Van de Sande,,
erik-brynjolfsson,Erik Brynjolfsson,,
lyle-ungar,Lyle Ungar,,
